+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                               ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                           ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; img_reader|mm_interconnect_0|cmd_mux_002|arb                                                                                                                                                        ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|cmd_mux_002                                                                                                                                                            ; 211   ; 0              ; 0            ; 0              ; 106    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|cmd_mux_001                                                                                                                                                            ; 107   ; 0              ; 2            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|cmd_mux                                                                                                                                                                ; 107   ; 0              ; 2            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|cmd_demux_001                                                                                                                                                          ; 108   ; 4              ; 2            ; 4              ; 209    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|cmd_demux                                                                                                                                                              ; 111   ; 25             ; 2            ; 25             ; 521    ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_006|the_default_decode                                                                                                                                          ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_006                                                                                                                                                             ; 102   ; 0              ; 2            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_005|the_default_decode                                                                                                                                          ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_005                                                                                                                                                             ; 102   ; 0              ; 2            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_004|the_default_decode                                                                                                                                          ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_004                                                                                                                                                             ; 102   ; 0              ; 2            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_003|the_default_decode                                                                                                                                          ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_003                                                                                                                                                             ; 102   ; 0              ; 2            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_002|the_default_decode                                                                                                                                          ; 0     ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_002                                                                                                                                                             ; 102   ; 0              ; 2            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_001|the_default_decode                                                                                                                                          ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router_001                                                                                                                                                             ; 102   ; 0              ; 5            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router|the_default_decode                                                                                                                                              ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|router                                                                                                                                                                 ; 102   ; 0              ; 5            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|key_2_s1_agent_rsp_fifo                                                                                                                                                ; 142   ; 39             ; 0            ; 39             ; 101    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|key_2_s1_agent|uncompressor                                                                                                                                            ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|key_2_s1_agent                                                                                                                                                         ; 282   ; 39             ; 42           ; 39             ; 300    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|onchip_memory2_0_s1_agent_rsp_fifo                                                                                                                                     ; 142   ; 39             ; 0            ; 39             ; 101    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|onchip_memory2_0_s1_agent|uncompressor                                                                                                                                 ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|onchip_memory2_0_s1_agent                                                                                                                                              ; 282   ; 39             ; 42           ; 39             ; 300    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent_rsp_fifo                                                                                                                            ; 142   ; 39             ; 0            ; 39             ; 101    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent|uncompressor                                                                                                                        ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent                                                                                                                                     ; 282   ; 39             ; 42           ; 39             ; 300    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|img_cpu_reader_0_avalon_slave_0_agent_rsp_fifo                                                                                                                         ; 142   ; 39             ; 0            ; 39             ; 101    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|img_cpu_reader_0_avalon_slave_0_agent|uncompressor                                                                                                                     ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|img_cpu_reader_0_avalon_slave_0_agent                                                                                                                                  ; 282   ; 39             ; 42           ; 39             ; 300    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent_rsp_fifo                                                                                                                           ; 142   ; 39             ; 0            ; 39             ; 101    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent|uncompressor                                                                                                                       ; 36    ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent                                                                                                                                    ; 282   ; 39             ; 42           ; 39             ; 300    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_instruction_master_agent                                                                                                                                  ; 170   ; 37             ; 73           ; 37             ; 134    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_data_master_agent                                                                                                                                         ; 170   ; 37             ; 73           ; 37             ; 134    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|key_2_s1_translator                                                                                                                                                    ; 103   ; 6              ; 21           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|onchip_memory2_0_s1_translator                                                                                                                                         ; 103   ; 7              ; 4            ; 7              ; 89     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_translator                                                                                                                                ; 103   ; 5              ; 11           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|img_cpu_reader_0_avalon_slave_0_translator                                                                                                                             ; 103   ; 5              ; 17           ; 5              ; 71     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                                                                                                               ; 103   ; 5              ; 22           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_instruction_master_translator                                                                                                                             ; 104   ; 51             ; 0            ; 51             ; 96     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0|nios2_gen2_0_data_master_translator                                                                                                                                    ; 104   ; 12             ; 0            ; 12             ; 96     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|mm_interconnect_0                                                                                                                                                                        ; 246   ; 0              ; 0            ; 0              ; 244    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|onchip_memory2_0|the_altsyncram|auto_generated|mux2                                                                                                                                      ; 163   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|onchip_memory2_0|the_altsyncram|auto_generated|decode3                                                                                                                                   ; 4     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                                           ; 55    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|onchip_memory2_0                                                                                                                                                                         ; 59    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_debug_slave_wrapper|the_camera_module_nios2_gen2_0_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_debug_slave_wrapper|the_camera_module_nios2_gen2_0_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_debug_slave_wrapper                                                                     ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_ocimem|camera_module_nios2_gen2_0_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_ocimem|camera_module_nios2_gen2_0_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_ocimem                                                                            ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_avalon_reg                                                                        ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_im                                                                            ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_pib                                                                           ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_fifo|the_camera_module_nios2_gen2_0_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_fifo|the_camera_module_nios2_gen2_0_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_fifo|the_camera_module_nios2_gen2_0_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_fifo                                                                          ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_dtrace|camera_module_nios2_gen2_0_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_dtrace                                                                        ; 105   ; 0              ; 94           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_itrace                                                                        ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_dbrk                                                                          ; 90    ; 0              ; 0            ; 0              ; 94     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_xbrk                                                                          ; 56    ; 5              ; 53           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_break                                                                         ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci|the_camera_module_nios2_gen2_0_cpu_nios2_oci_debug                                                                         ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_nios2_oci                                                                                                                            ; 160   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|camera_module_nios2_gen2_0_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|camera_module_nios2_gen2_0_cpu_register_bank_b                                                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|camera_module_nios2_gen2_0_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                            ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|camera_module_nios2_gen2_0_cpu_register_bank_a                                                                                                                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu|the_camera_module_nios2_gen2_0_cpu_test_bench                                                                                                                           ; 294   ; 3              ; 260          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0|cpu                                                                                                                                                                         ; 149   ; 1              ; 31           ; 1              ; 115    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; img_reader|nios2_gen2_0                                                                                                                                                                             ; 149   ; 0              ; 0            ; 0              ; 114    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
